design,removed_feature,scenario,outcome,correct_checkpoint_finalized,terminates,deterministic,trace
no_fresh_window,fresh_replacement_window,dependent_fault,CORRECTED,True,True,True,publish invalid ADMIT and dependent AGGREGATE -> challenge ADMIT -> revise ADMIT -> supersede INCLUDE/AGGREGATE descendants -> publish corrected descendants -> finalize corrected checkpoint
no_fresh_window,fresh_replacement_window,correction_laundering,FAULTY_FINALIZED,False,True,True,publish invalid checkpoint -> challenge and revise -> coordinator publishes invalid replacement -> replacement is terminal immediately -> finalize laundered checkpoint
no_fresh_window,fresh_replacement_window,repeated_faults,CORRECTED,True,True,True,initial revision -> publish invalid replacement 1 -> challenge replacement 1 -> publish invalid replacement 2 -> challenge replacement 2 -> publish invalid replacement 3 -> challenge replacement 3 -> retry budget exhausted -> certified fallback -> finalize corrected checkpoint
no_fresh_window,fresh_replacement_window,resolver_unavailable,SAFE_ABORT,False,True,True,open supported challenge -> resolver deadline expires -> fail-closed abort
no_fresh_window,fresh_replacement_window,concurrent_conflicts,CORRECTED,True,True,True,open ancestor and descendant challenges in one epoch -> freeze epoch snapshot -> resolve ancestor first -> mark descendant challenge MOOT -> finalize one corrected lineage
no_retry_bound,bounded_retries,dependent_fault,CORRECTED,True,True,True,publish invalid ADMIT and dependent AGGREGATE -> challenge ADMIT -> revise ADMIT -> supersede INCLUDE/AGGREGATE descendants -> publish corrected descendants -> finalize corrected checkpoint
no_retry_bound,bounded_retries,correction_laundering,CORRECTED,True,True,True,publish invalid checkpoint -> challenge and revise -> coordinator publishes invalid replacement -> open fresh window -> challenge replacement -> install valid correction -> finalize corrected checkpoint
no_retry_bound,bounded_retries,repeated_faults,UNBOUNDED,False,False,True,initial revision -> publish invalid replacement 1 -> challenge replacement 1 -> publish invalid replacement 2 -> challenge replacement 2 -> publish invalid replacement 3 -> challenge replacement 3 -> publish invalid replacement 4 -> challenge replacement 4 -> publish invalid replacement 5 -> challenge replacement 5 -> publish invalid replacement 6 -> challenge replacement 6 -> publish invalid replacement 7 -> challenge replacement 7 -> publish invalid replacement 8 -> challenge replacement 8 -> horizon reached while another replacement remains admissible
no_retry_bound,bounded_retries,resolver_unavailable,SAFE_ABORT,False,True,True,open supported challenge -> resolver deadline expires -> fail-closed abort
no_retry_bound,bounded_retries,concurrent_conflicts,CORRECTED,True,True,True,open ancestor and descendant challenges in one epoch -> freeze epoch snapshot -> resolve ancestor first -> mark descendant challenge MOOT -> finalize one corrected lineage
no_fallback_abort,fallback_or_abort,dependent_fault,CORRECTED,True,True,True,publish invalid ADMIT and dependent AGGREGATE -> challenge ADMIT -> revise ADMIT -> supersede INCLUDE/AGGREGATE descendants -> publish corrected descendants -> finalize corrected checkpoint
no_fallback_abort,fallback_or_abort,correction_laundering,CORRECTED,True,True,True,publish invalid checkpoint -> challenge and revise -> coordinator publishes invalid replacement -> open fresh window -> challenge replacement -> install valid correction -> finalize corrected checkpoint
no_fallback_abort,fallback_or_abort,repeated_faults,STUCK,False,False,True,initial revision -> publish invalid replacement 1 -> challenge replacement 1 -> publish invalid replacement 2 -> challenge replacement 2 -> publish invalid replacement 3 -> challenge replacement 3 -> retry budget exhausted -> no terminal transition
no_fallback_abort,fallback_or_abort,resolver_unavailable,STUCK,False,False,True,open supported challenge -> resolver deadline expires -> no timeout terminal transition
no_fallback_abort,fallback_or_abort,concurrent_conflicts,CORRECTED,True,True,True,open ancestor and descendant challenges in one epoch -> freeze epoch snapshot -> resolve ancestor first -> mark descendant challenge MOOT -> finalize one corrected lineage
